trip_id,duration,start_date,start_id,end_date,weekday,end_id,bike_id,type
913032,1082,8/31/2015 17:47,77,8/31/2015 18:05,1,69,541,Subscriber
913031,695,8/31/2015 17:47,69,8/31/2015 17:58,1,58,593,Subscriber
913030,696,8/31/2015 17:47,70,8/31/2015 17:58,1,60,448,Subscriber
913029,624,8/31/2015 17:46,50,8/31/2015 17:57,1,61,502,Subscriber
913028,277,8/31/2015 17:46,45,8/31/2015 17:51,1,75,317,Subscriber
913026,525,8/31/2015 17:45,55,8/31/2015 17:54,1,69,395,Subscriber
913025,361,8/31/2015 17:45,62,8/31/2015 17:51,1,50,288,Subscriber
913023,572,8/31/2015 17:45,51,8/31/2015 17:55,1,70,372,Subscriber
913022,728,8/31/2015 17:45,67,8/31/2015 17:57,1,46,480,Subscriber
913021,398,8/31/2015 17:44,60,8/31/2015 17:51,1,51,267,Subscriber
913020,262,8/31/2015 17:43,65,8/31/2015 17:48,1,69,134,Subscriber
913019,710,8/31/2015 17:43,39,8/31/2015 17:55,1,65,607,Subscriber
913018,276,8/31/2015 17:43,57,8/31/2015 17:48,1,62,432,Subscriber
913016,500,8/31/2015 17:42,69,8/31/2015 17:50,1,54,436,Subscriber
913013,350,8/31/2015 17:41,32,8/31/2015 17:47,1,28,142,Subscriber
913011,343,8/31/2015 17:41,64,8/31/2015 17:47,1,77,388,Subscriber
913010,1075,8/31/2015 17:41,65,8/31/2015 17:59,1,55,470,Subscriber
913009,725,8/31/2015 17:40,50,8/31/2015 17:53,1,70,360,Subscriber
913006,217,8/31/2015 17:39,55,8/31/2015 17:43,1,54,594,Subscriber
913005,281,8/31/2015 17:39,42,8/31/2015 17:44,1,60,526,Subscriber
913004,411,8/31/2015 17:39,68,8/31/2015 17:46,1,74,495,Subscriber
913001,433,8/31/2015 17:39,76,8/31/2015 17:46,1,70,441,Subscriber
913000,782,8/31/2015 17:39,67,8/31/2015 17:52,1,49,361,Subscriber
912999,598,8/31/2015 17:38,42,8/31/2015 17:48,1,63,331,Subscriber
912998,691,8/31/2015 17:38,68,8/31/2015 17:50,1,66,428,Subscriber
912997,286,8/31/2015 17:38,32,8/31/2015 17:43,1,28,251,Subscriber
912994,227,8/31/2015 17:37,65,8/31/2015 17:41,1,69,338,Subscriber
912993,700,8/31/2015 17:37,56,8/31/2015 17:48,1,59,393,Subscriber
912990,636,8/31/2015 17:37,39,8/31/2015 17:47,1,70,310,Subscriber
912989,681,8/31/2015 17:36,55,8/31/2015 17:48,1,65,508,Subscriber
912988,293,8/31/2015 17:36,74,8/31/2015 17:41,1,63,282,Customer
912987,405,8/31/2015 17:36,72,8/31/2015 17:43,1,77,541,Subscriber
912986,442,8/31/2015 17:36,57,8/31/2015 17:43,1,71,465,Customer
912985,613,8/31/2015 17:36,72,8/31/2015 17:46,1,69,492,Subscriber
912982,847,8/31/2015 17:35,55,8/31/2015 17:50,1,70,187,Subscriber
912981,893,8/31/2015 17:35,41,8/31/2015 17:50,1,61,269,Subscriber
912980,646,8/31/2015 17:35,63,8/31/2015 17:46,1,70,427,Subscriber
912979,996,8/31/2015 17:35,42,8/31/2015 17:51,1,70,328,Customer
912977,526,8/31/2015 17:35,55,8/31/2015 17:43,1,69,507,Subscriber
912975,652,8/31/2015 17:34,74,8/31/2015 17:45,1,70,559,Subscriber
912974,688,8/31/2015 17:34,59,8/31/2015 17:45,1,55,602,Subscriber
912973,229,8/31/2015 17:32,66,8/31/2015 17:35,1,72,574,Subscriber
912972,221,8/31/2015 17:33,42,8/31/2015 17:37,1,55,320,Subscriber
912969,559,8/31/2015 17:33,65,8/31/2015 17:42,1,62,288,Subscriber
912967,737,8/31/2015 17:32,46,8/31/2015 17:45,1,70,540,Subscriber
912966,642,8/31/2015 17:32,42,8/31/2015 17:43,1,70,408,Subscriber
912963,353,8/31/2015 17:32,63,8/31/2015 17:38,1,50,404,Subscriber
